"Borough","Avg_Volume","Std_Volume","Month_Name"
"Bronx",13.84,11.13807284348,"Jan"
"Brooklyn",31.4736842105263,18.4181708780263,"Jan"
"Manhattan",27.1590909090909,23.4520224563654,"Jan"
"Queens",22.7258064516129,15.5912642152834,"Jan"
"Staten Island",40.5833333333333,23.3099991549991,"Jan"
"Bronx",15.2083333333333,10.5870271997165,"Feb"
"Brooklyn",29.6315789473684,18.3912744478985,"Feb"
"Manhattan",23.8139534883721,19.4902366448942,"Feb"
"Queens",20.6290322580645,13.1276630347157,"Feb"
"Staten Island",36.8333333333333,21.8125624076558,"Feb"
"Bronx",17.24,12.1562055483335,"Mar"
"Brooklyn",36,19.074533751519,"Mar"
"Manhattan",25.6363636363636,19.6185613453189,"Mar"
"Queens",25.9354838709677,18.0598921331328,"Mar"
"Staten Island",44.0833333333333,24.4297074493455,"Mar"
"Bronx",16.32,13.6312141792285,"Apr"
"Brooklyn",28.5263157894737,16.9892443592286,"Apr"
"Manhattan",23.0227272727273,20.5284698920776,"Apr"
"Queens",21.5806451612903,16.7121712661582,"Apr"
"Staten Island",38.4166666666667,21.4495532199003,"Apr"
"Bronx",16.72,12.9470717410025,"May"
"Brooklyn",34.2631578947368,19.0059510033558,"May"
"Manhattan",30.6590909090909,24.2141061922429,"May"
"Queens",25.2903225806452,19.6855502442483,"May"
"Staten Island",41.25,28.2653819748083,"May"
"Bronx",19.6,14.8744747806435,"Jun"
"Brooklyn",41.4210526315789,25.2261464303782,"Jun"
"Manhattan",35.3953488372093,28.626610609614,"Jun"
"Queens",28.1451612903226,23.8505227452033,"Jun"
"Staten Island",48.5833333333333,30.098197872157,"Jun"
"Bronx",15.84,12.4220234529913,"Jul"
"Brooklyn",33.3513513513514,16.2296303377773,"Jul"
"Manhattan",26.0444444444444,22.8004740337041,"Jul"
"Queens",23.5645161290323,19.6173400778302,"Jul"
"Staten Island",38.8333333333333,22.7469611690055,"Jul"
"Bronx",18.04,14.1288121699361,"Aug"
"Brooklyn",39.4736842105263,20.3000956489629,"Aug"
"Manhattan",34.4545454545455,29.7582933880621,"Aug"
"Queens",29.1774193548387,22.4349874544996,"Aug"
"Staten Island",53.1666666666667,30.2709982216202,"Aug"
"Bronx",17.04,13.4983949663161,"Sep"
"Brooklyn",31.2894736842105,14.7077988040852,"Sep"
"Manhattan",26.8809523809524,23.5332690098584,"Sep"
"Queens",24.672131147541,17.3510050731703,"Sep"
"Staten Island",44.1666666666667,25.9469155053626,"Sep"
"Bronx",19.28,14.9680771421493,"Oct"
"Brooklyn",30.1025641025641,16.9593862720927,"Oct"
"Manhattan",24.5909090909091,23.6803501916852,"Oct"
"Queens",27.3225806451613,18.5169609388642,"Oct"
"Staten Island",49.6666666666667,30.3414907446233,"Oct"
"Bronx",17.24,14.5180347614039,"Nov"
"Brooklyn",31.0263157894737,15.3049838943296,"Nov"
"Manhattan",21.8222222222222,20.963484366099,"Nov"
"Queens",23.3225806451613,15.077694081154,"Nov"
"Staten Island",34.0833333333333,20.4426396326775,"Nov"
"Bronx",15.28,10.3219830136139,"Dec"
"Brooklyn",30.7105263157895,15.4952615158711,"Dec"
"Manhattan",24.0666666666667,21.1696609669249,"Dec"
"Queens",22.5161290322581,14.3341183441602,"Dec"
"Staten Island",7.83333333333333,4.76413367748741,"Dec"
