"Borough","Month","Volume"
"Bronx",1,346
"Bronx",2,365
"Bronx",3,431
"Bronx",4,408
"Bronx",5,418
"Bronx",6,490
"Bronx",7,396
"Bronx",8,451
"Bronx",9,426
"Bronx",10,482
"Bronx",11,431
"Bronx",12,382
"Brooklyn",1,1196
"Brooklyn",2,1126
"Brooklyn",3,1368
"Brooklyn",4,1084
"Brooklyn",5,1302
"Brooklyn",6,1574
"Brooklyn",7,1234
"Brooklyn",8,1500
"Brooklyn",9,1189
"Brooklyn",10,1174
"Brooklyn",11,1179
"Brooklyn",12,1167
"Manhattan",1,1195
"Manhattan",2,1024
"Manhattan",3,1128
"Manhattan",4,1013
"Manhattan",5,1349
"Manhattan",6,1522
"Manhattan",7,1172
"Manhattan",8,1516
"Manhattan",9,1129
"Manhattan",10,1082
"Manhattan",11,982
"Manhattan",12,1083
"Queens",1,1409
"Queens",2,1279
"Queens",3,1608
"Queens",4,1338
"Queens",5,1568
"Queens",6,1745
"Queens",7,1461
"Queens",8,1809
"Queens",9,1505
"Queens",10,1694
"Queens",11,1446
"Queens",12,1396
"Staten Island",1,487
"Staten Island",2,442
"Staten Island",3,529
"Staten Island",4,461
"Staten Island",5,495
"Staten Island",6,583
"Staten Island",7,466
"Staten Island",8,638
"Staten Island",9,530
"Staten Island",10,596
"Staten Island",11,409
"Staten Island",12,94
